


      Monthly sea levels for MARSHALL ISLANDS
      ---------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       12 2002     0     7440      0.072      1.975      0.938     0.430
        1 2003     0     7440      0.145      1.987      1.031     0.425
        2 2003     0     6720      0.173      2.191      1.129     0.439
        3 2003     0     7440      0.006      2.202      1.110     0.470
        4 2003     0     7200      0.092      2.203      1.121     0.460
        5 2003     0     7440      0.215      2.203      1.114     0.429
        6 2003     0     7200      0.135      1.928      1.008     0.399
        7 2003     0     7440      0.171      2.000      1.023     0.416
        8 2003     0     7440      0.101      2.033      1.024     0.437
        9 2003     0     7200      0.101      2.126      1.064     0.462
       10 2003     0     7440      0.028      2.132      1.071     0.451
       11 2003     0     7200      0.079      2.154      1.020     0.443
       12 2003     0     7440      0.181      2.133      1.066     0.417
        1 2004     0     7440      0.141      2.124      1.079     0.418
        2 2004     0     6960      0.182      2.121      1.131     0.452
        3 2004     0     7440      0.154      2.149      1.121     0.448
        4 2004     0     7200      0.080      2.092      1.079     0.449
        5 2004     0     7440      0.129      2.147      1.066     0.432
        6 2004     0     7200      0.202      2.053      1.061     0.397
        7 2004     0     7440      0.160      2.015      1.063     0.403
        8 2004     0     7440      0.132      2.076      1.023     0.447
        9 2004     0     7200      0.153      1.983      1.046     0.445
       10 2004     0     7440      0.110      2.065      1.085     0.450
       11 2004     0     7200      0.209      2.131      1.100     0.419
       12 2004     0     7440      0.108      2.088      1.032     0.406
        1 2005     0     7440      0.078      2.110      1.047     0.425
        2 2005   270     6450      0.009      2.093      1.054     0.460
        3 2005     0     7440      0.108      2.173      1.067     0.457
        4 2005     0     7200      0.129      2.040      1.044     0.446
        5 2005     0     7440      0.232      2.033      1.069     0.414
        6 2005     0     7200      0.127      1.936      1.011     0.398
        7 2005     0     7440      0.121      2.097      1.020     0.406
        8 2005     0     7440      0.031      2.130      1.023     0.422
        9 2005     0     7200      0.050      2.209      1.089     0.464
       10 2005     0     7440      0.175      2.096      1.091     0.455
       11 2005     0     7200      0.210      2.055      1.088     0.426
       12 2005     0     7440      0.177      2.119      1.081     0.415
        1 2006     0     7440      0.120      2.241      1.087     0.442
        2 2006     0     6720      0.151      2.322      1.151     0.444
        3 2006     0     7440      0.061      2.340      1.104     0.493
        4 2006     0     7200      0.087      2.092      1.064     0.458
        5 2006     0     7440      0.189      1.907      1.024     0.413
        6 2006     0     7200      0.190      1.887      0.997     0.393
        7 2006  1164     6276      0.126      1.945      0.976     0.401
        8 2006     0     7440      0.066      2.084      0.988     0.426
        9 2006   918     6282     -0.031      2.131      1.022     0.427
       10 2006     0     7440      0.026      2.168      1.079     0.446
       11 2006     0     7200      0.099      2.047      0.994     0.423
       12 2006     0     7440      0.120      1.880      0.948     0.408
        1 2007     0     7440      0.179      2.098      1.081     0.428
        2 2007     0     6720      0.104      2.226      1.094     0.443
        3 2007   550     6890      0.042      2.194      1.129     0.454
        4 2007   217     6983      0.245      2.259      1.194     0.441
        5 2007     0     7440      0.234      2.144      1.124     0.414
        6 2007     0     7200      0.346      2.080      1.105     0.392
        7 2007     0     7440      0.219      2.057      1.110     0.418
        8 2007     0     7440      0.063      2.071      1.053     0.448
        9 2007     0     7200      0.246      2.325      1.156     0.461
       10 2007     0     7440      0.112      2.214      1.204     0.452
       11 2007     0     7200      0.217      2.193      1.144     0.421
       12 2007     0     7440      0.275      2.117      1.138     0.400
        1 2008     0     7440      0.229      2.123      1.124     0.421
        2 2008     0     6960      0.172      2.175      1.125     0.462
        3 2008     0     7440      0.114      2.134      1.095     0.451
        4 2008     0     7200      0.117      2.158      1.108     0.449
        5 2008     0     7440      0.161      2.136      1.072     0.426
        6 2008     0     7200      0.170      2.044      1.048     0.401
        7 2008     0     7440      0.155      2.030      1.038     0.419
        8 2008     0     7440      0.094      2.082      1.035     0.451
        9 2008     0     7200      0.118      2.067      1.045     0.457
       10 2008     0     7440      0.156      2.190      1.124     0.451
       11 2008     0     7200      0.191      2.109      1.083     0.407
       12 2008     0     7440      0.158      2.137      1.120     0.406
        1 2009     0     7440      0.157      2.183      1.101     0.438
        2 2009     0     6720      0.151      2.241      1.106     0.462
        3 2009     0     7440      0.120      2.133      1.119     0.466
        4 2009     0     7200      0.202      2.015      1.097     0.428
        5 2009     0     7440      0.179      2.022      1.051     0.402
        6 2009     0     7200      0.235      2.036      1.061     0.393
        7 2009     0     7440      0.158      2.113      1.047     0.401
        8 2009     0     7440      0.046      2.095      1.024     0.429
        9 2009     0     7200      0.100      2.040      1.048     0.443
       10 2009     0     7440      0.153      2.014      1.054     0.451
       11 2009     0     7200      0.076      1.964      0.990     0.436
