


      Monthly sea levels for KIRIBATI
      -------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       11 2002     0     7200      0.607      2.933      1.721     0.496
       12 2002     0     7440      0.786      2.891      1.725     0.480
        1 2003     0     7440      0.676      2.743      1.647     0.476
        2 2003  4280     2440      0.518      2.853      1.633     0.624
        3 2003   720     6720      0.437      2.774      1.592     0.545
        4 2003     0     7200      0.485      2.893      1.619     0.520
        5 2003     0     7440      0.556      2.797      1.602     0.486
        6 2003   260     6940      0.684      2.766      1.651     0.447
        7 2003     0     7440      0.641      2.697      1.656     0.463
        8 2003     0     7440      0.643      2.814      1.704     0.499
        9 2003     0     7200      0.592      2.863      1.677     0.515
       10 2003  4580     2860      0.705      2.626      1.666     0.496
       11 2003  7200        0
       12 2003  2165     5275      0.597      2.807      1.687     0.467
        1 2004     0     7440      0.685      2.889      1.732     0.468
        2 2004     0     6960      0.597      2.826      1.645     0.494
        3 2004     0     7440      0.576      2.746      1.650     0.500
        4 2004     0     7200      0.620      2.848      1.735     0.508
        5 2004     0     7440      0.634      2.876      1.657     0.482
        6 2004     0     7200      0.606      2.764      1.701     0.459
        7 2004  3099     4341      0.638      2.893      1.740     0.515
        8 2004     0     7440      0.631      2.899      1.748     0.500
        9 2004     0     7200      0.637      2.754      1.729     0.514
       10 2004     0     7440      0.696      2.889      1.743     0.511
       11 2004     0     7200      0.681      2.885      1.741     0.469
       12 2004     0     7440      0.764      2.935      1.760     0.460
        1 2005     0     7440      0.552      2.880      1.698     0.478
        2 2005     0     6720      0.550      3.024      1.753     0.516
        3 2005     0     7440      0.518      2.923      1.663     0.519
        4 2005     0     7200      0.505      2.719      1.588     0.502
        5 2005     0     7440      0.670      2.655      1.612     0.465
        6 2005     0     7200      0.603      2.667      1.615     0.447
        7 2005     0     7440      0.626      2.832      1.633     0.444
        8 2005     0     7440      0.553      2.945      1.684     0.483
        9 2005     0     7200      0.430      2.893      1.670     0.511
       10 2005     0     7440      0.555      2.799      1.680     0.522
       11 2005     0     7200      0.701      2.730      1.686     0.479
       12 2005     0     7440      0.683      2.778      1.662     0.468
        1 2006     0     7440      0.492      2.869      1.644     0.501
        2 2006     0     6720      0.453      2.977      1.634     0.501
        3 2006     0     7440      0.483      2.960      1.649     0.546
        4 2006     0     7200      0.658      2.769      1.644     0.498
        5 2006     0     7440      0.730      2.617      1.638     0.457
        6 2006  4360     2840      0.781      2.613      1.647     0.388
        7 2006  1200     6240      0.698      2.801      1.697     0.480
        8 2006     0     7440      0.621      2.916      1.745     0.481
        9 2006     0     7200      0.558      2.964      1.722     0.502
       10 2006     0     7440      0.634      2.955      1.788     0.494
       11 2006     0     7200      0.727      2.940      1.766     0.483
       12 2006     0     7440      0.751      2.710      1.691     0.456
        1 2007     0     7440      0.706      2.846      1.659     0.475
        2 2007     0     6720      0.497      2.973      1.642     0.513
        3 2007     0     7440      0.463      2.913      1.619     0.524
        4 2007     0     7200      0.527      2.879      1.635     0.496
        5 2007     0     7440      0.605      2.792      1.632     0.466
        6 2007  3160     4040      0.654      2.672      1.619     0.478
        7 2007  7440        0
        8 2007  1922     5518      0.516      2.800      1.642     0.527
        9 2007     0     7200      0.467      2.805      1.621     0.517
       10 2007     0     7440      0.551      2.837      1.627     0.497
       11 2007     0     7200      0.575      2.831      1.638     0.477
       12 2007     0     7440      0.591      2.672      1.641     0.454
        1 2008     0     7440      0.652      2.817      1.620     0.466
