


      Monthly sea levels for SAMOA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        9 2002     0     7200      0.091      1.490      0.766     0.297
       10 2002  5552     1888      0.121      1.545      0.805     0.406
       11 2002  7200        0
       12 2002  2401     5039      0.263      1.394      0.770     0.274
        1 2003     0     7440      0.195      1.476      0.794     0.296
        2 2003     0     6720      0.143      1.433      0.773     0.300
        3 2003     0     7440      0.113      1.424      0.747     0.301
        4 2003     0     7200      0.062      1.479      0.757     0.300
        5 2003     0     7440      0.223      1.557      0.822     0.290
        6 2003     0     7200      0.127      1.407      0.758     0.286
        7 2003     0     7440      0.168      1.410      0.768     0.290
        8 2003     0     7440      0.181      1.387      0.786     0.294
        9 2003     0     7200      0.153      1.428      0.762     0.297
       10 2003     0     7440      0.156      1.486      0.782     0.297
       11 2003     0     7200      0.139      1.492      0.778     0.301
       12 2003     0     7440      0.173      1.440      0.784     0.282
        1 2004     0     7440      0.116      1.489      0.762     0.289
        2 2004     0     6960      0.156      1.457      0.778     0.293
        3 2004     0     7440      0.255      1.481      0.817     0.277
        4 2004     0     7200      0.228      1.423      0.770     0.288
        5 2004     0     7440      0.121      1.380      0.764     0.287
        6 2004     0     7200      0.164      1.453      0.820     0.287
        7 2004     0     7440      0.191      1.547      0.822     0.294
        8 2004     0     7440      0.210      1.554      0.835     0.298
        9 2004     0     7200      0.234      1.456      0.846     0.287
       10 2004     0     7440      0.304      1.427      0.836     0.282
       11 2004     0     7200      0.248      1.452      0.813     0.282
       12 2004     0     7440      0.162      1.466      0.777     0.278
        1 2005     0     7440      0.084      1.447      0.765     0.285
        2 2005   380     6340      0.092      1.522      0.786     0.303
        3 2005  1716     5724     -0.044      1.330      0.615     0.305
        4 2005     0     7200      0.059      1.332      0.680     0.303
        5 2005     0     7440      0.176      1.381      0.734     0.290
        6 2005     0     7200      0.200      1.424      0.783     0.286
        7 2005     0     7440      0.132      1.490      0.762     0.288
        8 2005     0     7440      0.133      1.554      0.804     0.287
        9 2005     0     7200      0.188      1.574      0.844     0.291
       10 2005     0     7440      0.246      1.498      0.834     0.291
       11 2005     0     7200      0.317      1.472      0.847     0.276
       12 2005     0     7440      0.222      1.433      0.816     0.286
        1 2006     0     7440      0.114      1.553      0.801     0.303
        2 2006     0     6720      0.222      1.673      0.897     0.294
        3 2006     0     7440      0.240      1.665      0.910     0.306
        4 2006     0     7200      0.291      1.504      0.870     0.289
        5 2006     0     7440      0.226      1.438      0.830     0.282
        6 2006     0     7200      0.321      1.402      0.856     0.277
        7 2006     0     7440      0.252      1.476      0.829     0.275
        8 2006     0     7440      0.154      1.498      0.782     0.285
        9 2006     0     7200      0.036      1.472      0.767     0.299
       10 2006     0     7440      0.123      1.511      0.781     0.303
       11 2006     0     7200      0.108      1.494      0.746     0.299
       12 2006     0     7440      0.141      1.375      0.735     0.293
        1 2007     0     7440      0.169      1.475      0.784     0.303
        2 2007     0     6720      0.026      1.440      0.708     0.303
        3 2007     0     7440      0.043      1.379      0.710     0.296
        4 2007     0     7200      0.135      1.499      0.764     0.288
        5 2007     0     7440      0.181      1.499      0.831     0.280
        6 2007     0     7200      0.283      1.488      0.851     0.276
        7 2007  2230     5210      0.283      1.436      0.867     0.293
        8 2007    19     7421      0.176      1.496      0.841     0.299
        9 2007   298     6902      0.216      1.449      0.805     0.283
       10 2007   260     7180      0.189      1.547      0.826     0.299
       11 2007     0     7200      0.187      1.521      0.842     0.294
       12 2007     0     7440      0.104      1.397      0.757     0.283
        1 2008     0     7440      0.211      1.493      0.794     0.279
        2 2008     0     6960      0.170      1.334      0.746     0.284
        3 2008     0     7440      0.187      1.356      0.774     0.278
        4 2008     0     7200      0.235      1.479      0.870     0.296
        5 2008     0     7440      0.252      1.587      0.877     0.302
        6 2008     0     7200      0.185      1.562      0.852     0.305
        7 2008     0     7440      0.117      1.451      0.800     0.299
