


      Monthly sea levels for TONGA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        8 2002     0     7440      0.157      1.706      0.957     0.379
        9 2002     0     7200      0.178      1.738      0.959     0.379
       10 2002     0     7440      0.194      1.888      0.988     0.385
       11 2002     0     7200      0.177      1.812      1.041     0.385
       12 2002  2178     5262      0.339      1.889      1.088     0.403
        1 2003  4809     2631      0.260      1.676      1.005     0.408
        2 2003     0     6720      0.269      1.759      1.025     0.379
        3 2003     0     7440      0.267      1.766      1.030     0.374
        4 2003     0     7200      0.163      1.760      0.990     0.373
        5 2003     0     7440      0.150      1.793      0.962     0.368
        6 2003     0     7200      0.110      1.709      0.928     0.368
        7 2003     0     7440      0.088      1.634      0.886     0.375
        8 2003     0     7440      0.193      1.633      0.909     0.382
        9 2003     0     7200      0.163      1.661      0.897     0.383
       10 2003     0     7440      0.052      1.680      0.887     0.382
       11 2003     0     7200      0.098      1.775      0.911     0.380
       12 2003   680     6760      0.193      1.825      1.009     0.378
        1 2004  1909     5531      0.166      1.728      0.977     0.388
        2 2004     0     6960      0.339      1.713      1.034     0.368
        3 2004     0     7440      0.401      1.718      1.064     0.360
        4 2004     0     7200      0.349      1.786      1.001     0.363
        5 2004     0     7440      0.199      1.722      0.965     0.365
        6 2004     0     7200      0.124      1.733      0.937     0.381
        7 2004     0     7440      0.092      1.737      0.928     0.387
        8 2004     0     7440      0.067      1.740      0.912     0.388
        9 2004     0     7200      0.222      1.659      0.941     0.376
       10 2004     0     7440      0.203      1.693      0.954     0.372
       11 2004     0     7200      0.108      1.701      0.964     0.368
       12 2004     0     7440      0.156      1.820      1.054     0.364
        1 2005     0     7440      0.139      1.820      1.035     0.369
        2 2005     0     6720      0.210      1.859      1.063     0.372
        3 2005   307     7133      0.209      1.725      0.957     0.362
        4 2005     0     7200      0.224      1.697      0.968     0.366
        5 2005     0     7440      0.235      1.690      0.966     0.370
        6 2005     0     7200      0.063      1.629      0.910     0.376
        7 2005     0     7440      0.122      1.764      0.942     0.379
        8 2005     0     7440      0.079      1.674      0.867     0.373
        9 2005     0     7200      0.099      1.654      0.874     0.372
       10 2005     0     7440      0.252      1.741      0.999     0.367
       11 2005     0     7200      0.255      1.707      1.003     0.367
       12 2005     0     7440      0.196      1.705      0.972     0.373
        1 2006     0     7440      0.182      1.866      1.010     0.385
        2 2006     0     6720      0.218      1.853      1.030     0.371
        3 2006     0     7440      0.227      1.799      1.008     0.389
        4 2006     0     7200      0.271      1.801      1.050     0.379
        5 2006     0     7440      0.220      1.691      1.015     0.372
        6 2006     0     7200      0.256      1.675      0.998     0.372
        7 2006     0     7440      0.266      1.768      1.013     0.366
        8 2006     0     7440      0.256      1.779      0.987     0.369
        9 2006     0     7200      0.158      1.704      0.935     0.368
       10 2006     0     7440      0.167      1.784      0.999     0.373
       11 2006     0     7200      0.170      1.796      1.043     0.376
       12 2006     0     7440      0.255      1.798      1.043     0.377
        1 2007     0     7440      0.344      1.810      1.112     0.373
