


      Monthly sea levels for FEDERATED STATES OF MICRONESIA
      -----------------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 2011     0     7440      0.223      1.592      0.835     0.290
        8 2011     0     7440      0.224      1.504      0.815     0.290
        9 2011     0     7200      0.269      1.518      0.821     0.289
       10 2011     0     7440      0.335      1.684      0.875     0.286
       11 2011     0     7200      0.293      1.678      0.861     0.282
       12 2011   240     7200      0.268      1.657      0.857     0.278
        1 2012     0     7440      0.264      1.626      0.861     0.292
        2 2012  3090     3870      0.264      1.533      0.867     0.281
        3 2012  4303     3137      0.377      1.508      0.919     0.279
        4 2012     0     7200      0.299      1.680      0.897     0.277
        5 2012     0     7440      0.251      1.602      0.871     0.267
        6 2012     0     7200      0.287      1.713      0.886     0.284
        7 2012     0     7440      0.313      1.644      0.878     0.285
        8 2012     0     7440      0.216      1.517      0.819     0.284
        9 2012  5760     1440      0.291      1.373      0.818     0.292
       10 2012  7440        0
       11 2012  7200        0
       12 2012   740     6700      0.143      1.649      0.765     0.290
        1 2013     0     7440      0.132      1.594      0.795     0.294
        2 2013     0     6720      0.206      1.563      0.854     0.292
        3 2013     0     7440      0.264      1.463      0.850     0.280
        4 2013  1008     6192      0.345      1.695      0.836     0.259
        5 2013     0     7440      0.254      1.609      0.849     0.269
        6 2013     0     7200      0.181      1.617      0.822     0.284
        7 2013     0     7440      0.163      1.599      0.796     0.273
        8 2013     0     7440      0.188      1.499      0.770     0.266
        9 2013     0     7200      0.226      1.459      0.828     0.280
       10 2013     0     7440      0.291      1.590      0.851     0.285
       11 2013     0     7200      0.279      1.646      0.871     0.285
       12 2013     0     7440      0.211      1.621      0.803     0.295
        1 2014     0     7440      0.224      1.641      0.838     0.294
        2 2014     0     6720      0.255      1.622      0.876     0.277
        3 2014     0     7440      0.244      1.555      0.826     0.297
        4 2014     0     7200      0.192      1.471      0.765     0.286
        5 2014     0     7440      0.161      1.451      0.713     0.273
        6 2014     0     7200      0.134      1.467      0.716     0.264
        7 2014   767     6673      0.126      1.481      0.713     0.255
        8 2014     0     7440      0.061      1.385      0.671     0.278
        9 2014  1222     5978      0.059      1.367      0.687     0.288
       10 2014  1983     5457      0.061      1.468      0.680     0.297
       11 2014  1745     5455      0.070      1.560      0.674     0.301
       12 2014  7440        0
        1 2015  7440        0
        2 2015  6720        0
        3 2015  7440        0
        4 2015  7200        0
        5 2015  5821     1619      0.221      1.127      0.600     0.182
        6 2015     0     7200      0.076      1.328      0.631     0.272
        7 2015     0     7440     -0.005      1.330      0.582     0.279
        8 2015     0     7440     -0.051      1.308      0.585     0.275
        9 2015     0     7200      0.038      1.274      0.610     0.269
       10 2015     0     7440     -0.001      1.372      0.601     0.291
       11 2015     0     7200     -0.015      1.323      0.599     0.285
       12 2015     0     7440     -0.026      1.301      0.545     0.283
        1 2016     0     7440     -0.091      1.278      0.541     0.264
        2 2016     0     6960      0.072      1.379      0.657     0.284
        3 2016     0     7440      0.152      1.544      0.797     0.302
        4 2016     0     7200      0.245      1.605      0.852     0.275
        5 2016     0     7440      0.364      1.615      0.865     0.259
        6 2016     0     7200      0.275      1.584      0.821     0.264
        7 2016     0     7440      0.246      1.525      0.820     0.268
        8 2016     0     7440      0.261      1.548      0.826     0.281
        9 2016     0     7200      0.228      1.511      0.837     0.278
       10 2016     0     7440      0.366      1.646      0.933     0.279
       11 2016     0     7200      0.391      1.724      0.937     0.271
       12 2016     0     7440      0.214      1.573      0.813     0.274
        1 2017     0     7440      0.137      1.555      0.759     0.287
        2 2017     0     6720      0.244      1.500      0.808     0.270
        3 2017     0     7440      0.286      1.534      0.876     0.294
        4 2017     0     7200      0.321      1.552      0.866     0.275
        5 2017     0     7440      0.245      1.599      0.839     0.277
        6 2017     0     7200      0.224      1.596      0.815     0.283
        7 2017     0     7440      0.151      1.499      0.766     0.268
        8 2017   397     7043      0.183      1.521      0.795     0.285
        9 2017   889     6311      0.238      1.441      0.815     0.294
       10 2017     0     7440      0.303      1.544      0.933     0.280
       11 2017     0     7200      0.428      1.795      0.978     0.295
       12 2017     0     7440      0.271      1.635      0.827     0.275
        1 2018     0     7440      0.272      1.696      0.885     0.290
        2 2018     0     6720      0.278      1.718      0.883     0.276
        3 2018     0     7440      0.301      1.603      0.900     0.295
        4 2018     0     7200      0.295      1.575      0.875     0.293
        5 2018     0     7440      0.158      1.451      0.719     0.272
