


      Monthly sea levels for FIJI
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        6 2002     0     7200      0.282      2.187      1.234     0.466
        7 2002     0     7440      0.255      2.181      1.239     0.461
        8 2002     0     7440      0.217      2.199      1.253     0.464
        9 2002     0     7200      0.199      2.281      1.252     0.476
       10 2002     0     7440      0.287      2.405      1.288     0.479
       11 2002     0     7200      0.229      2.403      1.307     0.485
       12 2002     0     7440      0.206      2.340      1.257     0.481
        1 2003     0     7440      0.207      2.272      1.253     0.487
        2 2003     0     6720      0.219      2.205      1.260     0.475
        3 2003     0     7440      0.180      2.245      1.253     0.487
        4 2003     0     7200      0.133      2.259      1.231     0.481
        5 2003     0     7440      0.120      2.258      1.170     0.471
        6 2003     0     7200      0.069      2.145      1.143     0.462
        7 2003     0     7440      0.127      2.160      1.168     0.472
        8 2003     0     7440      0.139      2.056      1.146     0.481
        9 2003     0     7200      0.234      2.274      1.179     0.482
       10 2003     0     7440      0.184      2.299      1.230     0.475
       11 2003     0     7200      0.157      2.295      1.225     0.469
       12 2003     0     7440      0.110      2.294      1.257     0.468
        1 2004     0     7440      0.132      2.243      1.245     0.467
        2 2004     0     6960      0.251      2.237      1.269     0.467
        3 2004     0     7440      0.359      2.167      1.279     0.462
        4 2004     0     7200      0.393      2.296      1.240     0.464
        5 2004     0     7440      0.223      2.244      1.234     0.473
        6 2004     0     7200      0.156      2.236      1.207     0.470
        7 2004     0     7440      0.108      2.298      1.224     0.483
        8 2004     0     7440      0.133      2.285      1.210     0.491
        9 2004     0     7200      0.270      2.139      1.236     0.475
       10 2004     0     7440      0.390      2.205      1.266     0.463
       11 2004     0     7200      0.262      2.249      1.266     0.455
       12 2004     0     7440      0.135      2.268      1.230     0.461
        1 2005     0     7440      0.069      2.292      1.274     0.469
        2 2005     0     6720      0.187      2.363      1.314     0.477
        3 2005     0     7440      0.183      2.262      1.237     0.467
        4 2005     0     7200      0.288      2.200      1.237     0.470
        5 2005     0     7440      0.216      2.119      1.173     0.466
        6 2005     0     7200      0.104      2.116      1.155     0.463
        7 2005     0     7440      0.088      2.261      1.185     0.460
        8 2005  1720     5720      0.022      2.216      1.163     0.489
        9 2005     0     7200      0.143      2.215      1.213     0.464
       10 2005  2840     4600      0.431      2.049      1.250     0.422
       11 2005     0     7200      0.293      2.183      1.246     0.461
       12 2005     0     7440      0.237      2.218      1.242     0.464
        1 2006     0     7440      0.152      2.359      1.284     0.484
        2 2006     0     6720      0.094      2.318      1.233     0.469
        3 2006     0     7440      0.165      2.279      1.232     0.492
        4 2006     0     7200      0.239      2.196      1.233     0.462
        5 2006     0     7440      0.284      2.214      1.222     0.450
        6 2006     0     7200      0.300      2.114      1.268     0.450
        7 2006     0     7440      0.231      2.203      1.242     0.453
        8 2006     0     7440      0.181      2.287      1.253     0.457
        9 2006     0     7200      0.148      2.256      1.249     0.465
       10 2006     0     7440      0.219      2.289      1.254     0.467
       11 2006     0     7200      0.214      2.321      1.292     0.474
       12 2006     0     7440      0.283      2.291      1.298     0.478
        1 2007     0     7440      0.310      2.265      1.341     0.477
        2 2007     0     6720      0.230      2.273      1.306     0.476
        3 2007     0     7440      0.256      2.340      1.297     0.477
        4 2007     0     7200      0.201      2.314      1.255     0.472
        5 2007     0     7440      0.117      2.234      1.218     0.456
        6 2007     0     7200      0.210      2.165      1.197     0.447
        7 2007     0     7440      0.248      2.178      1.267     0.459
        8 2007     0     7440      0.261      2.226      1.297     0.485
        9 2007     0     7200      0.328      2.389      1.306     0.489
       10 2007     0     7440      0.221      2.349      1.310     0.476
       11 2007     0     7200      0.188      2.374      1.323     0.471
       12 2007     0     7440      0.219      2.321      1.326     0.459
        1 2008     0     7440      0.223      2.266      1.326     0.460
        2 2008     0     6960      0.304      2.263      1.302     0.466
        3 2008     0     7440      0.453      2.280      1.367     0.458
        4 2008     0     7200      0.364      2.351      1.319     0.470
        5 2008     0     7440      0.220      2.322      1.260     0.475
