


      Monthly sea levels for NAURU
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        6 2003     0     7200      0.440      2.619      1.430     0.440
        7 2003     0     7440      0.471      2.485      1.424     0.441
        8 2003     0     7440      0.424      2.585      1.469     0.474
        9 2003     0     7200      0.393      2.593      1.435     0.493
       10 2003     0     7440      0.364      2.746      1.432     0.485
       11 2003     0     7200      0.472      2.794      1.498     0.469
       12 2003     0     7440      0.416      2.710      1.472     0.448
        1 2004     0     7440      0.440      2.765      1.522     0.460
        2 2004     0     6960      0.327      2.777      1.445     0.482
        3 2004  1920     5520      0.382      2.536      1.404     0.534
        4 2004  7200        0
        5 2004  7440        0
        6 2004  7200        0
        7 2004  4721     2719      0.413      2.613      1.476     0.447
        8 2004     0     7440      0.410      2.690      1.490     0.495
        9 2004     0     7200      0.436      2.494      1.457     0.495
       10 2004     0     7440      0.442      2.633      1.460     0.502
       11 2004     0     7200      0.381      2.650      1.424     0.484
       12 2004     0     7440      0.475      2.729      1.457     0.462
        1 2005     0     7440      0.262      2.661      1.421     0.482
        2 2005     0     6720      0.298      2.797      1.490     0.501
        3 2005     0     7440      0.267      2.821      1.455     0.533
        4 2005     0     7200      0.350      2.514      1.350     0.490
        5 2005     0     7440      0.375      2.439      1.343     0.458
        6 2005     0     7200      0.389      2.431      1.373     0.434
        7 2005     0     7440      0.330      2.573      1.383     0.432
        8 2005     0     7440      0.334      2.709      1.428     0.468
        9 2005     0     7200      0.248      2.638      1.423     0.495
       10 2005     0     7440      0.375      2.576      1.437     0.495
       11 2005     0     7200      0.511      2.693      1.449     0.471
       12 2005     0     7440      0.399      2.632      1.448     0.458
        1 2006     0     7440      0.246      2.709      1.427     0.481
        2 2006     0     6720      0.221      2.718      1.421     0.485
        3 2006     0     7440      0.317      2.671      1.435     0.520
        4 2006     0     7200      0.400      2.577      1.415     0.488
        5 2006   246     7194      0.537      2.461      1.451     0.431
        6 2006     0     7200      0.469      2.456      1.406     0.422
        7 2006     0     7440      0.516      2.634      1.475     0.434
        8 2006   270     7170      0.468      2.743      1.510     0.463
        9 2006     0     7200      0.338      2.751      1.470     0.488
       10 2006     0     7440      0.485      2.765      1.552     0.478
       11 2006     0     7200      0.479      2.752      1.492     0.466
       12 2006     0     7440      0.514      2.541      1.444     0.441
        1 2007     0     7440      0.376      2.549      1.358     0.460
        2 2007     0     6720      0.216      2.617      1.342     0.484
        3 2007   960     6480      0.235      2.582      1.381     0.493
        4 2007     0     7200      0.365      2.664      1.411     0.488
        5 2007     0     7440      0.447      2.597      1.416     0.451
        6 2007     0     7200      0.472      2.440      1.376     0.428
        7 2007     0     7440      0.395      2.584      1.389     0.453
        8 2007     0     7440      0.326      2.527      1.390     0.488
        9 2007     0     7200      0.261      2.644      1.381     0.500
